sentence,translation
街上一辆车都没有。,There is not even one car on the street.
他爱说话。,He likes to talk.
我不爱吃猪肉。,I don't like to eat pork.
铁爱生锈。,Iron rusts easily.
世上决没有无缘无故的爱，也没有无缘无故的恨。,There is absolutely no such thing in the world as love or hatred without reason or cause.
有一点爱注意的。,There's one thing you must bear in mind.
小鸟们在树枝间唱歌。,The birds were singing among the branches of the tree.
两个公司间的谈判非常成功。,The negotiations between the two companies were successful.
两点间直线最短。,The shortest distance between two points is a straight line.
我岂有安心不救之理，快取水来。,
他认为在中国旅游很安全。,He thinks travelling in China is very safe.
食品安全，和谐万家。,"Safe food, safe community."
请注意行车安全。,Please pay attention to road safety.
你是条狗，是王八养的！,
看老娘锤爆你的狗头！,See how I hammer you in your goddamn head!
那人是谁？,Who is that person?
有人敲门了。,Someone knocked on the door.
这两天人不大舒服。,I [lit. the body] haven't been feeling that well these few days.
今天上午你人在哪？,Where have you been this morning?
而仅一年后，他的政权轰然倒塌，甚至连人都跑到了俄罗斯。,"And merely 1 year later, his regime has collapsed spectacularly, and he himself has fled to Russia."
就我所知，他人不错。,"As far as I know, he is kind."
我不知道他是什么人。,I don't know what kind of person he is.
我们公司正缺人。,Our company is short on manpower right now.
别磨蹭啦，人在外头等着我们呢！,Stop dilly-dallying. He/She/They is/are waiting for us outside!
哎呀，人孩子考上哈佛大学啦，多出息呀！,"Geez, his/her/their kid got into Harvard University. How promising!"
人讲三百六十五行会当行行出状元。,People say you can be a master in any of the 365 trades.
请给我一杯水，谢谢。,"A glass of water, please."
要叫什么水？,What beverage do you want to order?
欲叫什物水？,What beverage do you want to order?
这里的大学太水了。,The universities here are too weak.
我有一米九高。,I'm 1.9 metres tall.
一减一等于零。,One minus one equals zero.
孝顺是中华民族的传统美德。,Filial piety is a traditional virtue of the Chinese people.
美德之光能盈满每个灵魂。,Virtue is an inner light that can prevail in every soul.
给他们一人一颗苹果。,Give them an apple each.
他们在海滩上玩了一下午。,They played the whole afternoon on the beach.
垃圾一地都系。,There's rubbish throughout the floor.
我一拍了照片，她就立即成为众人瞩目的焦点。,"As soon as I took a picture, she ran towards the limelight."
那就没什么说的了。交钱吧！一人一半。,
您所在的位置。,You are here.
这箱子是空的。,This box is empty.
在盒子里有些空瓶。,There are some empty bottles in the box.
有空房间吗？,Is there any vacant room?
这个位子空着吗？,Is this seat available?
我今天有空。,I'm free today.
你下午有空吗？,Are you free this afternoon?
现在医生没空。,The doctor is not available now.
再挤个人进来行吗？车里还有空吗？,Can you fit in another person? Is there room in the car?
有这款情形请敲免费电话：空八空空空九二空空空。,"If you have such symptoms, please call our free hotline: 0800-092-000."
我数底好差。,My foundation of math is very poor.
但是呢，最好先定一个能达到的小目标，比方说我先挣它一个亿。,"But I think that it's better to set a small goal first. For example, make a hundred million [yuans]."
他法语成绩得了乙。,He got a B in French.
（公文）……加乙份。,(In official letters) …added one copy.
于本店消费满五百元，即可获赠优惠券乙张。,Customers spending more than 500 dollars may obtain a coupon.
买电脑花了一千二。,Buying the computer cost me a thousand and two hundred bucks.
黄瓜一块二一斤。,The cucumbers are one dollar twenty per half kilogram.
你这人怎么这么二！,Why are you so incorrigibly stupid!
你不要以为我真不敢杀你，你不要激我。,Don't assume I'd hesitate to kill you — don't test me.
激死人呀！,So infuriating!
「殷之三仁」皆暗于前而章于后，何益于事？何补于君？,"The so-called ""three virtuous men of Yin"" were all in various forms of oblivion beforehand and were accorded great fame after the fact. How did that help with the matters of their country? What use were there to their prince?"
