word,level,frequency_ranking,pos,pinyin,definitions
阿拉伯语,7,27202,noun,Ā lā bó yǔ,Arabic (language)
阿姨,4,4355,noun,ā yí,maternal aunt | step-mother | childcare worker | nursemaid | woman of similar age to one's parents (term of address used by child)
呵,6,5230,noun,ā | hē,expel breath
呵护,7,13381,verb,hē hù,to bless | to cherish | to take good care of | to conserve
啊,2,47,interjection,à | á | a | ǎ | ā,"interjection of surprise | Oh! | interjection expressing doubt or requiring answer | interjection of surprise or doubt | interjection or grunt of agreement | Oh, it's you!"
哎,7,2092,noun,āi,hey!
哎呀,7,4772,interjection,āi yā,"interjection of wonder, shock or admiration"
哎哟,6,7054,noun,āi yō,hey | ow | ouch
哀求,7,19304,verb,āi qiú,to entreat | to implore | to plead
唉,7,2512,interjection,āi | ài,"interjection or grunt of agreement or recognition (e.g. yes, it's me!) | oh dear"
挨,6,5720,adverb,āi | ái,in order; in sequence
挨打,6,15204,verb,ái dǎ,to take a beating | to get thrashed | to come under attack
挨家挨户,7,26236,verb,āi jiā āi hù,to go from house to house
挨着,6,11185,adjective,āi zhe,near
癌,7,6175,noun,ái,cancer | carcinoma
癌症,7,4759,noun,ái zhèng,cancer
矮,4,3952,adjective,ǎi,low
矮小,4,21508,adjective,ǎi xiǎo,short and small | low and small | undersized
艾滋病,7,6270,noun,ài zī bìng,AIDS (loanword)
爱,1,130,verb,ài,to love; to be fond of; to like | to be inclined (to do sth); to tend to (happen)
爱不释手,7,26355,idiom,ài bù shì shǒu,(idiom) to like sth so much that one is reluctant to put it down; to find sth utterly irresistible
爱戴,6,15369,verb,ài dài,to love and respect
爱国,4,7528,verb,ài guó,to love one's country
爱好,1,4902,verb,ài hào,to like; to be fond of; to take pleasure in; to be keen on
爱护,4,10522,verb,ài hù,to cherish | to treasure | to take care of | to love and protect
爱理不理,7,69479,adjective,ài lǐ bù lǐ,(idiom) standoffish; indifferent
爱面子,7,44438,idiom,ài miàn zi,to like to look good in the eyes of others; sensitive about how one is regarded by others; proud
爱情,2,1164,noun,ài qíng,romance; love (romantic)
爱人,2,4365,noun,ài ren,spouse (PRC) | lover (non-PRC)
爱惜,7,20535,verb,ài xī,to cherish | to treasure | to use sparingly
爱心,3,5809,noun,ài xīn,"compassion | kindness | care for others | love | charity (bazaar, golf day etc) | heart (the symbol ♥)"
碍事,7,34045,idiom,ài shì,to be in the way; to be a hindrance | (usu. in the negative) to be of consequence; to matter
暧昧,6,11523,adjective,ài mèi,vague | ambiguous
安,4,1506,adjective,ān,(bound form) calm; peaceful | safe; secure; in good health
安定,7,7377,adjective,ān dìng,stable; calm; settled
安抚,7,12099,verb,ān fǔ,to placate | to pacify | to appease
安检,6,13665,noun,ān jiǎn,security check (abbr. for 安全检查)
安静,2,2501,adjective,ān jìng,quiet | peaceful | calm
安居乐业,6,29270,idiom,ān jū lè yè,to live in peace and work happily (idiom)
安眠药,7,16000,noun,ān mián yào,sleeping pill
安宁,7,9417,adjective,ān níng,peaceful | tranquil | calm | composed | free from worry
安排,3,900,verb,ān pái,to arrange | to plan | to set up
安全,2,364,adjective,ān quán,safe; secure
