word,level,difficulty,pos,pinyin,definitions
明日,6,8959,noun,míngrì,tomorrow | future
安心,7,5992,verb,ānxīn,to be relieved; to feel at ease | to keep one's mind on something | to harbour (malicious) intentions
安心,7,5992,adjective,ānxīn,relieved; at ease
安全,2,364,adjective,ānquán,safe; secure | unattractive; ugly
安全,2,364,noun,ānquán,safety; security
安全,2,364,verb,ānquán,to keep in good repair; to maintain; to save from damage; to preserve
花园,2,3403,noun,huāyuán,flower garden; garden | residential neighbourhood
美德,7,12541,noun,měidé,virtue (behaviour of a high moral standard); noble attribute
位置,4,1003,noun,wèizhì,location; position; place | post; office; position
位置,4,1003,verb,wèizhì,to deal with; to arrange for
仓库,6,4658,noun,cāngkù,warehouse; storehouse | repository
爽快,7,16589,adjective,shuǎngkuài,frank; open; outright; straightforward | refreshed; comfortable | happy; cheerful; in good spirits | interesting
爽快,7,16589,adverb,shuǎngkuài,readily; with alacrity
最近,2,612,adverb,zuìjìn,recently; lately; of late
最近,2,612,adjective,zuìjìn,latest; most recent | nearest; closest
人造,7,9994,noun,rénzào,artificial; man-made
人间,5,5471,noun,rénjiān,the human world; the world of mortals
中国,1,729,noun,Zhōngguó,"royal court; imperial court; imperial household; imperial government | central part of a country (historically, commonly known as the capital city or the main region, where an emperor or other ruler resides) | the Central Plain (area on the lower reaches of the Yellow River which formed the cradle of Chinese civilization) | people of the Central Plain | ""central countries""; lands with advanced civilization and other conditions helpful for teaching Buddhism"
中文,1,6459,noun,Zhōngwén,"Chinese (language) | Chinese (language); written Chinese | Chinese (language); spoken Chinese, including all dialects and varieties | Mandarin | Cantonese"
哈,5,676,interjection,hā,Used to indicate confusion or pondering when the speaker did not hear or comprehend clearly: huh; hmm; what; pardon?; what did (they/you/he/she) say? | Used to express doubt or disbelief: huh?; hmm?; what?; oh?; what do you mean? | Used to express subtle surprise or amusement/astonishment: huh!; oh!; what! | Used to express consent or agreement or approval: huh ok; oh alright; yeah; sure; ah yes
喂,2,1301,interjection,wéi,"hello?; yes? (greeting, used when responding to a call, such as a phone call) | Response when spoken to directly face-to-face: yes?"
揪,7,9394,verb,jiū,to gather; to arrange a gathering
滴,6,2035,verb,dī,to bounce against a surface
缴,7,9307,noun,jiào,"gambling, bet"
轮,4,1066,noun,lún,warrant
姓氏,7,14616,noun,xìngshì,family name; surname
法语,6,9377,noun,fǎyǔ,French language | speech in accordance with etiquette | words about Buddhist doctrine
窗口,6,5160,noun,chuāngkǒu,window (opening in a wall or roof) | window (opening providing customer service) | window (interval or opportunity) | window (display screen for viewing information)
字典,2,13961,noun,zìdiǎn,dictionary of Chinese characters; Han character dictionary | General term for dictionaries. | dictionary (an associative array; a data structure where each value is referenced by a particular key) | dictionary (a set of text strings such as passwords)
长城,3,9599,noun,Chángchéng,insurmountable barrier or invincible power; wall of steel
汉字,1,19725,noun,hànzì,Chinese character; Han character; hanzi
英语,2,2039,noun,Yīngyǔ,English language
电话,1,359,noun,diànhuà,telephone; phone | telephone call; phone call; call | telephone number; phone number; number
爸爸,1,908,noun,bàba,dad; papa | paternal uncle (father's younger brother)
抱歉,6,4909,verb,bàoqiàn,to be sorry; to feel apologetic
抱歉,6,4909,interjection,bàoqiàn,sorry
不好意思,2,2805,adjective,bùhǎoyìsi,embarrassed; shy; ill at ease | too embarrassed or shy to do something
不好意思,2,2805,interjection,bùhǎoyìsi,sorry; excuse me
不用,1,1013,adverb,bùyòng,not necessary; don't; no need to
常常,1,2773,adverb,chángcháng,frequently; often
出生,2,2112,verb,chūshēng,"to be born | to lay down one's own life, to give up one's own life"
水果,1,3271,noun,shuǐguǒ,"fruit (a juicy or fleshy one, like an apple or banana) | edible part of an aquatic plant"
打工,2,4894,verb,dǎgōng,"to work on a part-time, casual or temporary basis | to work (for a company); to be employed"
打球,1,5476,verb,dǎqiú,to play a ball game
蛋糕,5,2650,noun,dàngāo,"cake (Western sweet food made from flour, eggs, etc.)"
弟弟,1,2424,noun,dìdi,younger brother | Term of address for a male younger than oneself. | penis
多少,1,526,adjective,duōshao,how many; how much | as much as; as many as
多少,1,526,noun,duōshǎo,amount; how much; how many
多少,1,526,adverb,duōshǎo,somewhat; more or less
房子,1,1027,noun,fángzi,house; home; apartment | building | room
房租,3,9307,noun,fángzū,rent (regular payments made to the owner of a property to secure its use)
感冒,3,3621,noun,gǎnmào,cold (common viral illness); common cold | influenza | pretext for requesting leave of absence used by officials in the Qing dynasty
感冒,3,3621,verb,gǎnmào,to catch a cold | to sense; to feel | to fancy; to be interested in | to loathe; to hate
哥哥,1,1655,noun,gēge,elder brother; big brother
工作,1,111,verb,gōngzuò,to work (to be engaged in a mental or physical activity) | to work (to be employed) | to work (to function properly)
工作,1,111,noun,gōngzuò,work (employment) | job (position) | task; job; work (something to do) | ingenious accomplishment
公司,2,220,noun,gōngsī,company; firm; corporation | kongsi; clan hall (benevolent organisation of overseas Chinese of the same origin)
姑娘,3,1474,noun,gūniang,"girl; maiden; unmarried woman | daughter | paternal aunt (father's sister) | sister-in-law (husband's sister) | wife | concubine | nun or unmarried female preacher (often as a title) | female nurse, healthcare professional, social worker, etc. | female prostitute | young sorceress; young witch | woman | Ms.; Miss | young married woman"
葡萄酒,5,6827,noun,pútáojiǔ,wine
教授,4,1612,noun,jiàoshòu,professor
教授,4,1612,verb,jiàoshòu,to teach; to instruct
今年,1,851,noun,jīnnián,this year
今天,1,155,noun,jīntiān,today | nowadays; the present time
汉语,1,13422,noun,Hànyǔ,the Chinese language | the language of the Han Chinese
洪水,6,7906,noun,hóngshuǐ,flood (usually disastrous overflow from a body of water); flooding; floodwater
当然,3,423,adverb,dāngrán,of course; surely | ex officio
当然,3,423,adjective,dāngrán,natural; reasonable; understandable | ex officio
蜜蜂,7,8143,noun,mìfēng,bee; honeybee
理想,2,2661,noun,lǐxiǎng,ideal; dream | theory | ideal
理想,2,2661,adjective,lǐxiǎng,ideal
游戏,3,603,noun,yóuxì,"game (playful or competitive activity, except sport) | game (playful or competitive activity, except sport); video game"
游戏,3,603,verb,yóuxì,to play
今日,5,3198,noun,jīnrì,today | nowadays; the present time
输入,3,4724,verb,shūrù,to bring in; to introduce; to inject | to import (into a country) | to input; to enter; to key in
经度,7,42656,noun,jīngdù,longitude
现在,1,77,noun,xiànzài,now; the present time; the present moment; the current time | this life; this world
现在,1,77,verb,xiànzài,to remain; to still exist | to be alive | to be currently at; to be currently in
繁体字,7,39543,noun,fántǐzì,Traditional Chinese (characters)
少年,2,3675,noun,shàonián,early youth (from ten to sixteen years old) | juvenile; youngster | young man; boy
少年,2,3675,adjective,shàonián,young
眼镜,4,3998,noun,yǎnjìng,glasses; eyeglasses; spectacles
天使,7,3295,noun,tiānshǐ,angel | envoy sent by Heaven or Son of Heaven; imperial or heavenly emissary
口袋,4,4512,noun,kǒudai,pocket (bag sewn into clothing) | bag; sack
棘手,7,11249,adjective,jíshǒu,thorny | difficult to handle; thorny; troublesome; knotty; prickly; intractable
乒乓球,7,10217,noun,pīngpāngqiú,table tennis; ping pong | ping pong ball
耳朵,5,3451,noun,ěrduo,ear (organ of hearing)
眼睛,2,814,noun,yǎnjing,eye; eyes | two identical tiles which are an essential part of a legal winning hand
协议,5,1554,verb,xiéyì,to agree on; to negotiate
协议,5,1554,noun,xiéyì,agreement; accord; bargain; settlement | protocol
佛教,6,13331,noun,Fójiào,Buddhism
西瓜,4,9098,noun,xīguā,watermelon
森林,4,3183,noun,sēnlín,forest; trees | forest (graph with no cycles)
人次,7,37900,classifier,réncì,Classifier for sum of numbers of people for each time.
人道,7,12917,noun,réndào,humanity; humanitarianism; human sympathy | ethics; morality; way of living | hierarchical relationship between people in ancient Chinese feudal society | sexual intercourse | male genitals; penis | humanity; human realm
人道,7,12917,adjective,réndào,humane; humanitarian
人格,7,5144,noun,réngé,personality; character | integrity | human dignity
人工,3,5772,adjective,réngōng,man-made; artificial | human; manual
人工,3,5772,noun,réngōng,manual work; labour | man-day | manpower | pay; salary | worker; labourer; coolie | working hours
人家,4,1850,noun,rénjiā,family; household | dwelling | family of a girl's betrothed | Used after a noun to specify a type of person.
人家,4,1850,pronoun,rénjia,others (i.e. besides the speaker and the listener); everybody else | someone specific that the speaker does not wish to name explicitly: he; she; they | I; me (first-person singular pronoun)
人口,2,2767,noun,rénkǒu,population (people living within a political or geographical boundary) | number of people in a family | mouths to feed | people (in general contexts)
人民,3,970,noun,rénmín,"people (collectively, as members of society) | humanity; humans (as a collective); humankind; the human race"
人生,3,926,noun,rénshēng,life (i.e. human life)
人类,3,1038,noun,rénlèi,humanity; humans; humankind; the human race; hominid
蚊子,7,9995,noun,wénzi,mosquito | fly (insect)
世界,3,238,noun,shìjiè,"world | realm governed by a Buddha | space, universe | the World | place, territory"
世界,3,238,adverb,shìjiè,extremely; super
蔑视,6,18227,verb,mièshì,to despise; to scorn; to look down upon
厌恶,6,7894,verb,yànwù,to loathe; to dislike
字母,4,6456,noun,zìmǔ,letter (of an alphabet) | alphabet | character representing an initial consonant | matrix
峡谷,7,10789,noun,xiágǔ,canyon; gorge
电脑,1,946,noun,diànnǎo,computer (electronic device)
筷子,2,10486,noun,kuàizi,chopsticks
筷子,2,10486,classifier,kuàizi,Classifier for an amount of food held with a pair of chopsticks.
翻译,4,4025,verb,fānyì,to translate (to change spoken words or written text from one language to another) | to translate (to generate a chain of amino acids based on the sequence of codons in an mRNA molecule)
翻译,4,4025,noun,fānyì,translator; interpreter
普通话,2,14869,noun,pǔtōnghuà,common language | Standard Mandarin Chinese; Standard Chinese | Mandarin as spoken in Mainland China; Putonghua
激光,7,6471,noun,jīguāng,laser
激素,7,7000,noun,jīsù,hormone
激素,7,7000,verb,jīsù,to undergo HRT (hormone replacement therapy)
咖啡,3,1698,noun,kāfēi,coffee
声调,5,23243,noun,shēngdiào,tone; note | tone
翅膀,7,6681,noun,chìbǎng,wing (of a bird or insect) | wing-like object
大小,2,3641,noun,dàxiǎo,"big and small | size (of dresses, shoes, etc.); proportions; dimensions; magnitude | old and young; adults and children | senior and junior; degree of seniority"
大小,2,3641,adverb,dàxiǎo,at any rate; anyway
天才,5,4429,noun,tiāncái,talent; gift; genius | talented or gifted person; genius
手指,3,3266,noun,shǒuzhǐ,finger | flash drive; thumb drive
漂亮,2,915,adjective,piàoliang,pretty; beautiful; handsome | brilliant; splendid
自由,2,1067,adjective,zìyóu,free; unconstrained | freelance
自由,2,1067,noun,zìyóu,freedom; liberty | freedom
监督,6,3386,verb,jiāndū,to supervise; to superintend; to oversee; to regulate | to oversight (to suppress content in a way that removes or minimizes its visibility or viewability)
监督,6,3386,noun,jiāndū,supervisor; overseer | film director
华侨,7,40806,noun,huáqiáo,Chinese national who lives outside of China | Chinese person living abroad; overseas Chinese; Huaqiao
华裔,7,23110,noun,huáyì,"person of Chinese ancestry (usually born abroad, to parent(s) of Chinese ancestry)"
中央,5,1962,noun,zhōngyāng,"centre (of all sides, ends, surfaces, etc.); middle (of a road) | central authorities | monarch; imperial government"
中央,5,1962,adjective,zhōngyāng,central
交通,2,1688,noun,jiāotōng,transportation; transport; traffic | communications; liaison | liaison person
交通,2,1688,verb,jiāotōng,to be linked with | to contact; to communicate with | to collude with
起源,7,11950,verb,qǐyuán,to originate; to come from
起源,7,11950,noun,qǐyuán,origin; source
茶道,7,47506,noun,chádào,"East Asian (Chinese, Japanese, Korean or Vietnamese) tea ceremony"
大道,6,3934,noun,dàdào,avenue (four-lane street); boulevard (multi-lane arterial thoroughfare) | expressway; motorway | the ultimate Tao | major arts
英雄,6,1553,noun,yīngxióng,hero
英雄,6,1553,adjective,yīngxióng,heroic
生活,2,203,noun,shēnghuó,life (activities in life) | livelihood | job; task | calligraphy brush; inkbrush
生活,2,203,verb,shēnghuó,to live; to exist; to lead a lifestyle
招待,7,8447,verb,zhāodài,to entertain; to host; to receive; to serve
招待,7,8447,noun,zhāodài,attendant; reception
无理,7,14822,verb,wúlǐ,to be unreasonable; to be unjust
无理,7,14822,adjective,wúlǐ,unreasonable | irrational
法律,4,816,noun,fǎlǜ,law (body of binding rules and regulations)
习惯,2,1251,verb,xíguàn,to be accustomed to; to be in the habit of
习惯,2,1251,noun,xíguàn,custom; habit
草原,5,8743,noun,cǎoyuán,grassland; prairie; steppe; savanna
朋友,1,280,noun,péngyou | péngyǒu,friend | friend; Term of address to a South Asian person. | boyfriend or girlfriend; partner | large number of retainers | designation given by government bureaucrats to Confucian students
太太,2,3823,noun,tàitai,"An honorific for adults, usually conferred on married women following the surname of their husband: Mrs | wife | madame; lady | great-grandmother | great-grandfather | great-great-grandparent | fandom content contributor"
俄语,7,16273,noun,Éyǔ,Russian language
风水,7,15242,noun,fēngshuǐ,"wind and water; wind and rain | feng shui (a Chinese system of geomancy about the ideal topography, geography, and spatial arrangement of things at a place) | tomb | typhoon"
淹没,6,10092,verb,yānmò,to submerge; to inundate; to drown; to drown out
地震,5,3938,noun,dìzhèn,earthquake | shifting or shuffling of posts
地震,5,3938,verb,dìzhèn,to have an earthquake
宗教,6,3459,noun,zōngjiào,religion; the sacred
猴子,4,5675,noun,hóuzi,monkey | die (cube used in games of chance) | praying mantis | boy | Southeast Asian (people) | ill-bred teenager
老虎,4,5451,noun,lǎohǔ,"tiger | tractor | energy-consuming unit or machine | one who uses one's power and influence to engage in large-scale embezzlement, theft or tax evasion; high-ranking corrupt officials"
太阳,2,2001,noun,tàiyáng,sun; the Sun | sunshine; sunlight | temple (on the head) | the Sun | greater yang (⚌)
少女,7,3926,noun,shàonǚ,young woman; girl | youngest daughter
苹果,3,2562,noun,píngguǒ,apple (fruit)
解决,3,458,verb,jiějué,to solve; to resolve; to settle | to kill off; to murder | to wipe out; to eliminate; to annihilate
解决,3,458,noun,jiějué,"solution, settlement | resolution"
特性,5,8741,noun,tèxìng,"special property, characteristic or trait; peculiarity"
姓名,2,4286,noun,xìngmíng,full name (of a person)
家族,7,2672,noun,jiāzú,family; household; clan
定义,7,4821,noun,dìngyì,definition
定义,7,4821,verb,dìngyì,to come up with a definition; to define
和尚,7,7896,noun,héshàng,preceptor; high priest; head monk | any Buddhist monk | knee
僧人,7,20566,noun,sēngrén,bhikkhu; Buddhist monk
菩萨,7,17880,noun,púsà,bodhisattva | kind-hearted person; kind and charitable person
重大,3,1734,adjective,zhòngdà,important; significant; great; major | serious; grave; heavy | large and heavy
首相,6,5438,noun,shǒuxiàng,prime minister | highest level chancellor
马上,1,847,adverb,mǎshàng,at once; immediately; without delay; in a minute; soon | on horseback
新闻,2,805,noun,xīnwén,news (reports of current events) | recent events | new knowledge
