word,level,frequency_ranking,pos,pinyin,definitions,source
阿拉伯语,7,27202,noun,ālābóyǔ,Arabic (language),kaikki
阿姨,4,4355,noun,āyí,"maternal aunt (mother's sister or female cousin) | maternal aunt (mother's sister or female cousin); one's mother's younger sister | auntie (form of address for any woman around one's mother's age) | a form of address for working-age female caretakers, including nurses, cleaning ladies, live-in staff, etc. | mom; mother",kaikki
呵,6,5230,noun,hē | ā,expel breath,drkameleon
呵,6,5230,interjection,hē | ā,my goodness,drkameleon
呵护,7,13381,verb,hēhù,to look after; to take care of | to take good care of; to cherish | to protect; to guard | to bless and protect; to be safeguarded,kaikki
啊,2,47,noun,a | ā | à | ǎ | á,"interjection of surprise | Eh? | interjection of surprise or doubt | Eh? | My! | interjection or grunt of agreement | uhm | Ah, OK | expression of recognition | modal particle ending sentence, showing affirmation, approval, or consent",drkameleon
啊,2,47,pronoun,a | ā | à | ǎ | á,Ah! | Oh! | what?,drkameleon
啊,2,47,interjection,a | ā | à | ǎ | á,"interjection expressing doubt or requiring answer | what's up? | Oh, it's you!",drkameleon
哎,7,2092,interjection,āi,hey! | (interjection used to attract attention or to express surprise or disapprobation),drkameleon
哎呀,7,4772,interjection,āiyā,"aiya; alas; ah; oh; ugh; ouch (expressing surprise, annoyance, pain, frustration, sarcasm, etc.)",kaikki
哎哟,6,7054,interjection,āiyō,"aiyo; hey; oh; ouch; ow (expressing surprise, pain, annoyance, regret, frustration, admiration, etc.)",kaikki
哀求,7,19304,verb,āiqiú,to implore; to entreat,kaikki
唉,7,2512,interjection,āi | ài,"interjection or grunt of agreement or recognition (e.g. yes, it's me!) | to sigh | alas | oh dear",drkameleon
挨,6,5720,verb,āi | ái,in order; in sequence | close to; adjacent to | to suffer; to endure | to pull through (hard times) | to delay; to stall; to play for time; to dawdle,drkameleon
挨打,6,15204,verb,áidǎ,to suffer a beating; to come under attack; to get a thrashing,kaikki
挨家挨户,7,26236,idiom,āijiā'āihù,from door to door; from family to family; from house to house,kaikki
癌,7,6175,noun,ái,cancer | carcinoma,drkameleon
癌症,7,4759,noun,áizhèng,cancer (disease in which the cells of a tissue undergo proliferation),kaikki
矮,4,3952,adjective,ǎi,low | short (in length),drkameleon
矮小,4,21508,adjective,ǎixiǎo,short and small; undersized,kaikki
艾滋病,7,6270,noun,àizībìng,AIDS,kaikki
爱,1,130,verb,ài,to love; to be fond of; to like | to be inclined (to do sth); to tend to (happen),drkameleon
爱,1,130,noun,ài,affection,drkameleon
爱不释手,7,26355,verb,ài bù shì shǒu,(idiom) to like sth so much that one is reluctant to put it down; to find sth utterly irresistible,drkameleon
爱不释手,7,26355,idiom,àibùshìshǒu,to love something too much to part with it,kaikki
爱戴,6,15369,verb,àidài,to love and respect; to venerate; to hold in high esteem,kaikki
爱戴,6,15369,noun,àidài,love and respect; veneration; high esteem,kaikki
爱国,4,7528,adjective,ài guó,to love one's country | patriotic,drkameleon
爱国,4,7528,verb,àiguó,to love one's country; to be patriotic,kaikki
爱好,1,4902,verb,àihào,to like; to be fond of; to be keen on,kaikki
爱好,1,4902,noun,àihào,interest; hobby,kaikki
爱护,4,10522,verb,àihù,to take good care of; to cherish; to show respect for; to protect,kaikki
爱理不理,7,69479,verb,ài lǐ bù lǐ,(idiom) standoffish; indifferent,drkameleon
爱理不理,7,69479,idiom,àilǐbùlǐ,standoffish; indifferent,kaikki
爱面子,7,44438,adjective,ài miàn zi,to like to look good in the eyes of others; sensitive about how one is regarded by others; proud,drkameleon
爱面子,7,44438,idiom,ài miànzi,sensitive about one's reputation; afraid of losing face and being looked down upon,kaikki
爱情,2,1164,noun,àiqíng,love (of a romantic nature),kaikki
爱人,2,4365,noun,àirén,spouse; husband or wife | sweetheart; lover | lovable person,kaikki
